Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Keysiht MC

Series
;R positive (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R positive (1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance [Ohm]

;R negative (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R negative (1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for R positive (1V) [Ohm];Y data for R positive (1V) [Ohm];X data for R negative (1V) [Ohm];Y data for R negative (1V) [Ohm];
;273;328.378833336756;2158.75017000158;328.378833336756;2185.66813689277;
;274;329.579483330017;2119.54667135793;329.579483330017;2145.95958728905;
;275;330.77585000312;2087.76112672292;330.77585000312;2113.70462668806;
;276;331.978583328892;2061.37114162857;331.978583328892;2087.03346975575;
;277;333.233566662529;2038.39936728084;333.233566662529;2063.82161976976;
;278;334.436066667549;2025.10317900697;334.436066667549;2051.5471743015;
;279;335.632400001632;2021.76633637744;335.632400001632;2049.46170888216;
;280;336.838916667039;2027.87105984653;336.838916667039;2056.95291223393;
;281;338.04171667085;2042.29594910598;338.04171667085;2073.05443840955;
;282;339.247183335247;2064.13259987822;339.247183335247;2096.91522800808;
;283;340.449383330997;2091.90141287021;340.449383330997;2127.01241962552;
;284;341.652483333601;2124.77079035099;341.652483333601;2162.62975778547;
;285;342.854100001277;2162.01257426513;342.854100001277;2202.80813981664;
;286;344.057416665601;2203.1527115302;344.057416665601;2247.38292258665;
;287;345.25906666182;2247.40817652043;345.25906666182;2295.36794748198;
;288;346.46366666886;2294.80959964752;346.46366666886;2346.80084109342;
;289;347.666450003162;2344.38554826973;347.666450003162;2400.79898590251;
;290;348.858249995392;2395.73750383318;348.858249995392;2456.74893499934;
;291;350.059916671598;2449.10754521053;350.059916671598;2515.21073693159;
;292;351.260233337525;2504.06284196108;351.260233337525;2575.5605063552;
;293;352.461100002984;2560.71454178574;352.461100002984;2637.95168327697;
;294;353.663583328016;2619.09002336228;353.663583328016;2702.49088584949;
;295;354.866883333307;2678.64556965416;354.866883333307;2768.51095638211;
;296;356.060033335816;2738.1806432534;356.060033335816;2835.43155268232;
;297;357.264733328484;2800.67328185696;357.264733328484;2905.19477878394;
;298;358.460133337649;2864.14774419724;358.460133337649;2976.27905592428;
;299;359.670849996619;2929.66461199522;359.670849996619;3049.85909650974;
;300;360.852483337512;2992.25604136495;360.852483337512;3122.05356195091;
;301;362.056050002575;3060.15343609329;362.056050002575;3198.77167167808;
;302;363.249899998773;3128.0302793331;363.249899998773;3276.28233690667;
;303;364.453149995534;3197.19669793525;364.453149995534;3355.54705483635;
;304;365.656183330575;3267.47198959637;365.656183330575;3436.59145113511;
;305;366.862633328419;3339.2660960974;366.862633328419;3519.80063849184;
;306;368.052683336427;3410.18759441957;368.052683336427;3602.87653662684;
;307;369.255249998532;3483.19185769071;369.255249998532;3688.58052355712;
;308;370.457983334782;3556.99732513801;370.457983334782;3775.49402339296;
;309;371.656850004802;3632.73090545818;371.656850004802;3864.6894915228;
;310;372.866516662762;3708.68983114335;372.866516662762;3955.32069740215;
;311;374.063366667833;3781.46176185866;374.063366667833;4044.21131812979;
;312;375.2639333345;3858.32240141986;375.2639333345;4136.98380784538;
;313;376.467883335426;3935.93866233189;376.467883335426;4231.46091187983;
;314;377.673366669333;4014.67766153056;377.673366669333;4328.27358151654;
;315;378.87936666375;4094.61844298039;378.87936666375;4426.61992156029;
;316;380.07331666653;4174.49384262158;380.07331666653;4525.99277651553;
;317;381.276916670613;4255.2105052637;381.276916670613;4627.20891385525;
;318;382.478083334863;4335.59217685748;382.478083334863;4729.45171466272;
;319;383.679716661572;4417.66358608259;383.679716661572;4833.88359041538;
;320;384.883083334425;4500.51080797671;384.883083334425;4940.76028419253;
;321;386.089000002248;4584.94761697348;386.089000002248;5049.76543839539;
;322;387.290983336279;4668.6648552247;387.290983336279;5159.21332315249;
;323;388.494766663061;4752.96466170774;388.494766663061;5270.14499749932;
;324;389.700216668425;4838.82128249087;389.700216668425;5383.91630379071;
;325;390.90641666553;4925.88270586618;390.90641666553;5499.90567661765;
;326;392.113299997291;5013.87338766367;392.113299997291;5617.81972416505;
;327;393.32558332826;5105.17164097574;393.32558332826;5740.11294246226;
;328;394.52909999527;5193.72058406504;394.52909999527;5861.57881625416;
;329;395.731016661739;5284.62459612257;395.731016661739;5986.53627990649;
;330;396.935766662937;5378.45787780036;396.935766662937;6115.759088018;
;331;398.131933333352;5464.48684643371;398.131933333352;6239.7901433779;
;332;399.334766665706;5562.76551775162;399.334766665706;6374.21756479392;
;333;400.5331833323;5663.01119294162;400.5331833323;6512.88443928624;
;334;401.73671666882;5759.2108498925;401.73671666882;6648.12725579268;
;335;402.934416661737;5859.32235765069;402.934416661737;6789.36866339736;
;336;404.136933336267;5957.30991713382;404.136933336267;6927.24179398937;
;337;405.339683331549;6055.69177497776;405.339683331549;7069.05619616914;
;338;406.543466668809;6158.81110310466;406.543466668809;7214.14838781819;
;339;407.74030000437;6250.67976142406;407.74030000437;7350.82781347421;
;340;408.944883331424;6357.61050480699;408.944883331424;7502.449549778;
;341;410.141566662351;6467.79072557617;410.141566662351;7659.28439305916;
;342;411.336700001266;6576.74934955949;411.336700001266;7815.70566052482;
;343;412.53850000212;6682.75874973603;412.53850000212;7970.28677091802;
;344;413.742549999151;6792.4584692108;413.742549999151;8130.01520312843;
;345;414.945549995173;6902.54503738073;414.945549995173;8291.2208408127;
;346;416.150450001005;7016.90372106404;416.150450001005;8458.06870150883;
;347;417.352149995277;7130.77557167428;417.352149995277;8625.58244245443;
;348;418.554416669067;7248.48307370475;418.554416669067;8798.20868471179;
;349;419.758166667307;7369.07728835641;419.758166667307;8975.00103212512;
;350;420.967066664016;7494.07780501459;420.967066664016;9158.64979521259;
;351;422.17458333238;7620.67336269833;422.17458333238;9344.74638358315;
;352;423.370500002056;7733.79055503095;423.370500002056;9516.42296693519;
;353;424.57253333414;7865.90210098245;424.57253333414;9710.63285165358;
;354;425.772133336868;8009.90023669255;425.772133336868;9920.64476254441;
;355;426.984683338087;8157.52507215331;426.984683338087;10136.857716024;
;356;428.197283337358;8308.74636803924;428.197283337358;10359.8815658339;
;357;429.402783330297;8451.82081801793;429.402783330297;10572.3556159824;
;358;430.61464999686;8620.12488836938;430.61464999686;10816.8799575113;
;359;431.826166666578;8792.25226730205;431.826166666578;11068.4851449861;
;360;433.032433331246;8980.89314982375;433.032433331246;11343.1285028999;
;361;434.247016666923;9174.66544582452;434.247016666923;11622.7578247311;
;362;435.460983335506;9376.62332791364;435.460983335506;11916.4087757201;
;363;436.673816666007;9588.83092973305;436.673816666007;12224.7595389799;
;364;437.885383333778;9809.59574655928;437.885383333778;12546.232868119;
;365;439.09773333231;10042.0863840355;439.09773333231;12885.1035318069;
;366;440.310616671341;10284.2568595993;440.310616671341;13240.1053382781;
;367;441.516099994769;10515.2913366618;441.516099994769;13580.129554436;
;368;442.727650003508;10784.6478381095;442.727650003508;13974.5411808767;
;369;443.947449994739;11073.9641137119;443.947449994739;14394.2883463842;
;370;445.15901666251;11325.7594204835;445.15901666251;14771.310569759;
;371;446.37110000127;11598.5464701564;446.37110000127;15176.7407342204;
;372;447.587683332385;11895.472107497;447.587683332385;15615.947630358;
;373;448.800250003114;12236.3075718271;448.800250003114;16119.5685113901;
;374;450.012083330657;12581.4333272104;450.012083330657;16628.6978066748;
;375;451.228933332022;12948.3361388062;451.228933332022;17173.071936281;
;376;452.440499999793;13320.3504317792;452.440499999793;17731.1566565422;
;377;453.652533330023;13647.2938780969;453.652533330023;18228.6492388628;
;378;454.865583332721;14004.7980438098;454.865583332721;18771.375904311;
;379;456.076449996326;14380.5850597226;456.076449996326;19341.9108260543;
;380;457.287716665305;14524.307154238;457.287716665305;19611.3808765503;
;381;458.498649996473;14783.102322721;458.498649996473;20025.4322990198;
;382;459.714399998775;15089.6020570146;459.714399998775;20508.8239214922;
;383;460.928599998588;15410.4337883007;460.928599998588;21017.6316912258;
;384;462.143016670598;15761.2610269722;462.143016670598;21567.9000629783;
;385;463.356716668932;16127.3414883923;463.356716668932;22143.7840183882;
;386;464.56611666712;16507.1525491996;464.56611666712;22743.5033182771;
;387;465.763316669036;16890.6650361545;465.763316669036;23353.2458676431;
;388;466.976083331974;17325.8578032198;466.976083331974;24039.8484527954;
;389;468.187149998266;17768.0803543666;468.187149998266;24743.7781769774;
;390;469.394300000276;18219.61560255;469.394300000276;25465.5095139144;
;391;470.607683330309;18710.9292408789;470.607683330309;26248.9237941244;
;392;471.82265000185;19227.1086850773;471.82265000185;27079.7227036395;
;393;473.038233330008;19759.1361305684;473.038233330008;27932.8828690423;
;394;474.239383335225;20285.8273067521;474.239383335225;28792.7212000806;
;395;475.446966671152;20851.708901803;475.446966671152;29712.2958393872;
;396;476.65891666431;21454.5314115794;476.65891666431;30698.3883346124;
;397;477.869333334966;22079.1980835256;477.869333334966;31718.7435571302;
;398;479.081866666675;22730.9923442018;479.081866666675;32792.7987014052;
;399;480.294399998384;23408.0753178231;480.294399998384;33913.8249707493;
;400;481.500516668893;24111.782222383;481.500516668893;35082.6723173158;
;401;482.710733336862;24843.9798068132;482.710733336862;36308.3156935433;
;402;483.925466666697;25621.3169356905;483.925466666697;37613.9231698005;
;403;485.141499998281;26425.6646054648;485.141499998281;38971.6169713598;
;404;486.357833328657;27268.9839849257;486.357833328657;40408.9384571867;
;405;487.569349998375;28140.5564513633;487.569349998375;41889.5540019185;
;406;488.776549998438;29047.3064432735;488.776549998438;43446.9035391848;
;407;489.987799997907;29990.6729007279;489.987799997907;45072.0476681976;
;408;491.199616666418;30986.8058180827;491.199616666418;46798.2946701422;
;409;492.404066668823;31991.6054027423;492.404066668823;48558.0681658161;
;410;493.618466671323;33091.8729669181;493.618466671323;50486.6917080658;
;411;494.831600000616;34227.0003114657;494.831600000616;52480.2149589605;
;412;496.042816671543;35408.6333329792;496.042816671543;54573.6244581521;
;413;497.245783328544;36610.8595131488;497.245783328544;56712.9728089652;
;414;498.455066671595;37914.1169423023;498.455066671595;59042.4727932285;
;415;499.658066667616;39227.5314506733;499.658066667616;61414.4233001409;
;416;500.872366663534;40671.4035294644;500.872366663534;64014.7899770763;
;417;502.085183335002;42169.8940692261;502.085183335002;66740.2589255085;
;418;503.301216666587;43734.9661054013;503.301216666587;69622.0289669414;
;419;504.510033336701;45368.5514275215;504.510033336701;72596.6515520438;
;420;505.719583329046;47073.665579265;505.719583329046;75752.0091326622;
;421;506.923283329234;48869.406285583;506.923283329234;79081.2029516268;
