Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;4 point R [Ohm]

Series
;4wR_fwd [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_fwd [Ohm] Y-expression: $N16.M4
;Assigned to Axis: Resistance [Ohm]

;4wR_rev [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_rev [Ohm] Y-expression: $N17.DF1
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 4wR_fwd [Ohm];Y data for 4wR_fwd [Ohm];X data for 4wR_rev [Ohm];Y data for 4wR_rev [Ohm];
;202;243.049033333082;825.9867;243.049033333082;836.7551;
;203;244.252816670341;828.4444;244.252816670341;839.2355;
;204;245.455299995374;831.8545;245.455299995374;842.6724;
;205;246.654066669289;836.2741;246.654066669289;847.1451;
;206;247.852350000758;841.7154;247.852350000758;852.6215;
;207;249.055666665081;848.2546;249.055666665081;859.1852;
;208;250.260349998716;855.9845;250.260349998716;866.9562;
;209;251.465199996019;864.9677;251.465199996019;875.9813;
;210;252.655449996237;875.1084;252.655449996237;886.1365;
;211;253.86111666332;886.8071;253.86111666332;897.9111;
;212;255.059299998684;899.9667;255.059299998684;911.1626;
;213;256.261083330028;914.7189;256.261083330028;925.9407;
;214;257.463066664059;931.2889;257.463066664059;942.5682;
;215;258.669000001391;949.9032;258.669000001391;961.2479;
;216;259.87474999507;970.6499;259.87474999507;982.0624;
;217;261.073049996048;993.5121;261.073049996048;1005.074;
;218;262.275566670578;1018.909;262.275566670578;1030.486;
;219;263.478900004411;1046.816;263.478900004411;1058.461;
;220;264.681999996537;1077.425;264.681999996537;1089.118;
;221;265.872516667005;1110.466;265.872516667005;1122.071;
;222;267.084283337463;1146.858;267.084283337463;1158.53;
;223;268.282066667452;1186.351;268.282066667452;1198.067;
;224;269.488133329432;1210.032;269.488133329432;1277.454;
;225;270.689900001744;1260.487;270.689900001744;1319.749;
;226;271.895116665401;1313.783;271.895116665401;1365.516;
;227;273.106416662922;1370.044;273.106416662922;1414.133;
;228;274.314500000328;1429.68;274.314500000328;1465.81;
;229;275.511983331526;1491.315;275.511983331526;1518.737;
;230;276.714900000952;1554.786;276.714900000952;1574.23;
;231;277.918199995765;1620.439;277.918199995765;1631.007;
;232;279.120983330067;1688.748;279.120983330067;1689.203;
;233;280.324699999765;1759.572;280.324699999765;1748.512;
;234;281.528916670941;1831.691;281.528916670941;1808.235;
;235;282.725333331618;1904.106;282.725333331618;1867.446;
;236;283.929916669149;1977.634;283.929916669149;1926.547;
;237;285.136733333347;2052.282;285.136733333347;1984.447;
;238;286.332833336201;2129.768;286.332833336201;2040.889;
;239;287.537516669836;2213.83;287.537516669836;2096.387;
;240;288.731466662139;2313.75;288.731466662139;2150.974;
;241;289.93554999819;2429.608;289.93554999819;2206.634;
;242;291.138600002741;2536.086;291.138600002741;2261.566;
;243;292.337066667387;2626.889;292.337066667387;2313.551;
;244;293.540283335606;2705.62;293.540283335606;2362.347;
;245;294.744083331898;2775.675;294.744083331898;2406.796;
;246;295.947133336449;2837.644;295.947133336449;2446.614;
;247;297.14910000097;2892.306;297.14910000097;2481.653;
;248;298.351416662335;2939.675;298.351416662335;2511.934;
;249;299.557316671126;2981.565;299.557316671126;2537.397;
;250;300.755533335032;3021.277;300.755533335032;2555.815;
;251;301.959583332064;3053.206;301.959583332064;2573.148;
;252;303.164166669594;3080.474;303.164166669594;2584.958;
;253;304.356250001583;3099.791;304.356250001583;2592.691;
;254;305.549349995563;3111.509;305.549349995563;2596.292;
;255;306.755816662917;3115.96;306.755816662917;2595.243;
;256;307.963300002739;3113.124;307.963300002739;2587.667;
;257;309.165049995063;3103.785;309.165049995063;2575.189;
;258;310.369633332593;3088.054;310.369633332593;2558.464;
;259;311.570783337811;3066.408;311.570783337811;2537.962;
;260;312.776450004894;3039.407;312.776450004894;2513.403;
;261;313.978449997958;3007.229;313.978449997958;2485.376;
;262;315.18100000103;2970.921;315.18100000103;2454.557;
;263;316.382133336738;2930.696;316.382133336738;2421.208;
;264;317.586333327927;2887.3;317.586333327927;2386.065;
;265;318.783966663759;2842.05;318.783966663759;2350.014;
;266;319.972350003663;2794.686;319.972350003663;2309.685;
;267;321.174433333799;2742.572;321.174433333799;2270.116;
;268;322.377183329081;2689.403;322.377183329081;2227.484;
;269;323.583149994956;2634.938;323.583149994956;2183.989;
;270;324.780349996872;2579.97;324.780349996872;2137.391;
;271;325.977566668298;2523.001;325.977566668298;2090.803;
;272;327.177650002996;2463.861;327.177650002996;2045.113;
;273;328.378833336756;2407.399;328.378833336756;2000.738;
;274;329.579483330017;2357.977;329.579483330017;1963.11;
;275;330.77585000312;2317.32;330.77585000312;1932.861;
;276;331.978583328892;2283.126;331.978583328892;1908.186;
;277;333.233566662529;2253.844;333.233566662529;1888.057;
;278;334.436066667549;2232.205;334.436066667549;1870.801;
;279;335.632400001632;2222.256;335.632400001632;1862.686;
;280;336.838916667039;2221.642;336.838916667039;1865.881;
;281;338.04171667085;2231.909;338.04171667085;1875.661;
;282;339.247183335247;2251.512;339.247183335247;1891.85;
;283;340.449383330997;2279.224;340.449383330997;1913.903;
;284;341.652483333601;2313.913;341.652483333601;1940.188;
;285;342.854100001277;2354.513;342.854100001277;1970.124;
;286;344.057416665601;2400.2;344.057416665601;2003.361;
;287;345.25906666182;2450.544;345.25906666182;2039.551;
;288;346.46366666886;2504.375;346.46366666886;2077.754;
;289;347.666450003162;2561.838;347.666450003162;2118.381;
;290;348.858249995392;2621.587;348.858249995392;2160.123;
;291;350.059916671598;2683.48;350.059916671598;2203.395;
;292;351.260233337525;2747.893;351.260233337525;2248.201;
;293;352.461100002984;2814.049;352.461100002984;2293.884;
;294;353.663583328016;2882.131;353.663583328016;2340.874;
;295;354.866883333307;2951.923;354.866883333307;2389.042;
;296;356.060033335816;3022.871;356.060033335816;2435.388;
;297;357.264733328484;3094.901;357.264733328484;2486.736;
;298;358.460133337649;3169.078;358.460133337649;2537.829;
;299;359.670849996619;3244.229;359.670849996619;2589.721;
;300;360.852483337512;3320.78;360.852483337512;2639.959;
;301;362.056050002575;3396.955;362.056050002575;2693.419;
;302;363.249899998773;3476.223;363.249899998773;2748.044;
;303;364.453149995534;3556.079;364.453149995534;2803.245;
;304;365.656183330575;3637.09;365.656183330575;2858.453;
;305;366.862633328419;3719.526;366.862633328419;2915.314;
;306;368.052683336427;3802.107;368.052683336427;2969.399;
;307;369.255249998532;3886.221;369.255249998532;3029.059;
;308;370.457983334782;3971.234;370.457983334782;3087.375;
;309;371.656850004802;4057.257;371.656850004802;3146.719;
;310;372.866516662762;4144.451;372.866516662762;3207.021;
;311;374.063366667833;4230.187;374.063366667833;3262.995;
;312;375.2639333345;4317.554;375.2639333345;3324.7;
;313;376.467883335426;4406.59;376.467883335426;3386.32;
;314;377.673366669333;4496.241;377.673366669333;3448.236;
;315;378.87936666375;4587.778;378.87936666375;3512.096;
;316;380.07331666653;4680.269;380.07331666653;3576.662;
;317;381.276916670613;4771.888;381.276916670613;3640.55;
;318;382.478083334863;4865.119;382.478083334863;3705.598;
;319;383.679716661572;4958.956;383.679716661572;3771.382;
;320;384.883083334425;5053.901;384.883083334425;3837.985;
;321;386.089000002248;5150.093;386.089000002248;3905.97;
;322;387.290983336279;5247.511;387.290983336279;3974.984;
;323;388.494766663061;5344.356;388.494766663061;4043.438;
;324;389.700216668425;5441.774;389.700216668425;4112.632;
;325;390.90641666553;5540.894;390.90641666553;4183.561;
;326;392.113299997291;5640.622;392.113299997291;4255.051;
;327;393.32558332826;5740.545;393.32558332826;4326.753;
;328;394.52909999527;5843.791;394.52909999527;4401.887;
;329;395.731016661739;5944.822;395.731016661739;4475.081;
;330;396.935766662937;6048.143;396.935766662937;4550.43;
;331;398.131933333352;6144.066;398.131933333352;4617.219;
;332;399.334766665706;6251.32;399.334766665706;4697.846;
;333;400.5331833323;6359.409;400.5331833323;4778.276;
;334;401.73671666882;6465.23;401.73671666882;4856.69;
;335;402.934416661737;6570.603;402.934416661737;4935.314;
;336;404.136933336267;6673.26;404.136933336267;5011.695;
;337;405.339683331549;6774.941;405.339683331549;5087.762;
;338;406.543466668809;6877.802;406.543466668809;5165.548;
;339;407.74030000437;6966.749;407.74030000437;5230.526;
;340;408.944883331424;7073.858;408.944883331424;5313.74;
;341;410.141566662351;7180.778;410.141566662351;5397.676;
;342;411.336700001266;7285.947;411.336700001266;5480.762;
;343;412.53850000212;7386.322;412.53850000212;5559.807;
;344;413.742549999151;7485.684;413.742549999151;5639.05;
;345;414.945549995173;7585.887;414.945549995173;5720.001;
;346;416.150450001005;7685.937;416.150450001005;5801.87;
;347;417.352149995277;7787.427;417.352149995277;5886.17;
;348;418.554416669067;7888.074;418.554416669067;5970.563;
;349;419.758166667307;7988.97;419.758166667307;6056.397;
;350;420.967066664016;8094.007;420.967066664016;6146.82;
;351;422.17458333238;8199.099;422.17458333238;6238.151;
;352;423.370500002056;8278.931;423.370500002056;6310.297;
;353;424.57253333414;8395.853;424.57253333414;6411.809;
;354;425.772133336868;8511.449;425.772133336868;6516.436;
;355;426.984683338087;8629.476;426.984683338087;6622.483;
;356;428.197283337358;8756.914;428.197283337358;6738.92;
;357;429.402783330297;8861.263;429.402783330297;6838.557;
;358;430.61464999686;9016.955;430.61464999686;6978.673;
;359;431.826166666578;9167.1;431.826166666578;7118.714;
;360;433.032433331246;9331.107;433.032433331246;7272.688;
;361;434.247016666923;9500.319;434.247016666923;7430.733;
;362;435.460983335506;9681.204;435.460983335506;7600.793;
;363;436.673816666007;9872.268;436.673816666007;7780.891;
;364;437.885383333778;10069.53;437.885383333778;7968.439;
;365;439.09773333231;10279.24;439.09773333231;8168.211;
;366;440.310616671341;10501.19;440.310616671341;8380.112;
;367;441.516099994769;10687.03;441.516099994769;8566.772;
;368;442.727650003508;10950.94;442.727650003508;8813.557;
;369;443.947449994739;11214.38;443.947449994739;9067.132;
;370;445.15901666251;11412.01;445.15901666251;9276.178;
;371;446.37110000127;11654.83;446.37110000127;9515.257;
;372;447.587683332385;11913.3;447.587683332385;9769.622;
;373;448.800250003114;25743.35;448.800250003114;10049.85;
;374;450.012083330657;26226.76;450.012083330657;10367.99;
;375;451.228933332022;26718.7;451.228933332022;10696.09;
;376;452.440499999793;27226.95;452.440499999793;11039.56;
;377;453.652533330023;27647.99;453.652533330023;11307.95;
;378;454.865583332721;28128.33;454.865583332721;11627.62;
;379;456.076449996326;28645.5;456.076449996326;11966.23;
;380;457.287716665305;29164.94;457.287716665305;-2111.961;
;381;458.498649996473;29518;458.498649996473;-2088.219;
;382;459.714399998775;29930.1;459.714399998775;-1999.536;
;383;460.928599998588;30377.19;460.928599998588;-1889.877;
;384;462.143016670598;30851.53;462.143016670598;-1756.767;
