Measurement
;BCTZ_16cikel za lukata loceno
Graph
;Keysiht MC

Series
;R (+1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (+1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance

;Electrometer avg [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Electrometer avg [Ohm] Y-expression: ($N12.DF3+$N13.DF3)/2
;Assigned to Axis: Resistance

;R (-1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (-1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance

Data
;Index;X data for R (+1V) [Ohm];Y data for R (+1V) [Ohm];X data for Electrometer avg [Ohm];Y data for Electrometer avg [Ohm];X data for R (-1V) [Ohm];Y data for R (-1V) [Ohm];
;81;737.049200003967;1075268817204.3;737.049199972535;328429387681.648;737.049200003967;-418410041841.004;
;82;737.996916670818;-1369863013698.63;737.996916681295;315068493150.685;737.996916670818;2000000000000;
;83;738.944866668899;793650793650.794;738.944866658421;641923436041.083;738.944866668899;490196078431.372;
;84;739.89261667477;190839694656.489;739.89261663286;-23063564994.0305;739.89261667477;-236966824644.55;
;85;740.84081667359;943396226415.094;740.840816600248;1112723754233.19;740.84081667359;1282051282051.28;
;86;741.790400000755;869565217391.304;741.790399969323;311020232458.028;741.790400000755;-247524752475.248;
;87;742.738400007365;157232704402.516;742.738399923546;-470834197249.292;742.738400007365;-1098901098901.1;
;88;743.688100000145;192678227360.308;743.688099937281;-375358999527.393;743.688100000145;-943396226415.094;
;89;744.636600008234;127064803049.555;744.636600008234;164746976423.563;744.636600008234;202429149797.571;
;90;745.58593333466;336700336700.337;745.585933250841;631313131313.132;745.58593333466;925925925925.926;
;91;746.535700005479;-124688279301.746;746.535699942615;322271244964.512;746.535700005479;769230769230.769;
;92;747.485133338487;-694444444444.444;747.485133265145;-411407074597.061;747.485133338487;-128369704749.679;
;93;748.43313333462;-121212121212.121;748.433133219369;-4864700516.8745;748.43313333462;111482720178.372;
;94;749.384016674012;421940928270.042;749.384016632102;-900140646976.089;749.384016674012;-2222222222222.22;
;95;750.332500002114;309597523219.814;750.332499991637;99732682314.753;750.332500002114;-110132158590.308;
;96;751.282616669778;312500000000;751.282616596436;76250000000;751.282616669778;-160000000000;
;97;752.233266667463;-523560209424.084;752.233266583644;-332903860046.323;752.233266667463;-142247510668.563;
;98;753.180750003085;-990099009900.99;753.180750003085;-418946004189.46;753.180750003085;152207001522.07;
;99;754.128499998478;85324232081.9113;754.128499977523;-3720073198.37645;754.128499998478;-92764378478.6642;
;100;755.078566668089;892857142857.143;755.078566615703;-1339285714285.71;755.078566668089;-3571428571428.57;
;101;756.030266666785;793650793650.794;756.03026664583;424058512293.807;756.030266666785;54466230936.8192;
;102;756.977650006302;-381679389312.977;756.977649985347;-280285132939.136;756.977650006302;-178890876565.295;
;103;757.925999999279;-125313283208.02;757.925999999279;-135649342333.937;757.925999999279;-145985401459.854;
;104;758.878066674806;135317997293.64;758.878066664329;118368937794.893;758.878066674806;101419878296.146;
;105;759.827283335617;-60938452163.315;759.827283272753;-60994256606.6881;759.827283335617;-61050061050.0611;
